Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Матвієнко,Валентина,Андріївна,жінка,1960-02-13,Публіцист,хутір Корюківка,"сквер Топольського, буд. 4, Токмак, 13570",001 836 97 86,labavalentyna@example.org
Вовк,Панас,Олексійович,чоловік,1965-08-15,Філолог,село Суходільськ,"набережна Естонський, буд. 43, Лутугине, 91996",+380 24 888-53-07,ivasiukklavdiia@example.org
Проценко,Ірена,Володимирівна,жінка,1958-05-05,Кінорежисер,селище Березне,"набережна Морський, буд. 963, Суходільськ, 35457",641-05-79,hdavymuka@example.org
Притула,Емілія,Олегівна,жінка,1985-08-18,Ді-джей,хутір Лозова,"вулиця Грецька, буд. 0 кв. 43, Соснівка, 36732",+380 87 419-96-20,pbaida@example.org
Перепелиця,Одарка,Андріївна,жінка,1963-09-27,Слідчий,хутір Ічня,"парк Херсонський сквер, буд. 394, Олешки, 56512",681 40 79,vitalii48@example.net
Чорновіл,Остап,Петрович,чоловік,2007-08-09,Гицель,хутір Мена,"вулиця Садова 2-га, буд. 229 кв. 049, Миронівка, 93918",+380 89 602 92 51,albertmiroshnychenko@example.org
Салій,Павло,Володимирович,чоловік,2000-10-29,Бібліограф,хутір Бахмут,"узвіз Українських Героїв, буд. 45, Зіньків, 16240",+380 (93) 652-96-99,avramenkosemen@example.org
Батюк,Ірина,Андріївна,жінка,1960-02-29,Дерун,селище Дружківка,"площа Онілової, буд. 405 кв. 180, Любомль, 84181",004 978 62 22,ostap65@example.org
Байда,Ада,Володимирівна,жінка,1941-09-24,Скульптор,селище Кам'янське,"набережна Український 3-й, буд. 14 кв. 33, Волноваха, 28603",024-95-82,rozaliiaisaievych@example.org
Шило,Аарон,Петрович,чоловік,1997-09-07,Ріелтор,хутір Костопіль,"набережна Сергія Шелухина, буд. 4, Молочанськ, 53371",+380 62 620 07 00,bohodar31@example.net
Власенко,Іван,Сергійович,чоловік,1986-11-10,Етнограф,село Добропілля,"узвіз Баркасний, буд. 95 кв. 96, Березань, 35087",047 367 26 50,nazaratamaniuk@example.net
Ісаєвич,Леонтій,Іванович,чоловік,1970-03-29,Педагог,місто Христинівка,"площа Український 3-й, буд. 0 кв. 5, Бахмач, 17801",251 27 39,nilchenko@example.org
Дергач,Ілля,Володимирович,чоловік,1940-06-13,Клавішник,хутір Дніпро,"шосе Дюківський сад, буд. 7, Роздільна, 16090",+380 11 539-46-71,petliuraoleksa@example.com
Павлик,Сніжана,Петрівна,жінка,1953-08-16,Футболіст,селище Севастополь,"шосе Шостої 1-й, буд. 023, Боярка, 41466",805-58-72,carkhypenko@example.net
Кабаненко,Златослава,Сергіївна,жінка,1941-07-14,Доцент,місто Моршин,"шосе Черешнева, буд. 88 кв. 73, Соснівка, 17056",+380 (97) 272-63-72,mishchenkospas@example.org
Алексюк,Орина,Володимирівна,жінка,1995-04-23,Менеджер,селище Глухів,"парк Амундсена, 3-й, буд. 098 кв. 92, Дунаївці, 13610",+380 (68) 114-46-00,panteleimonbevzenko@example.com
Оберемко,Клавдія,Володимирівна,жінка,1987-01-26,Реабілітолог,місто Подільськ,"узвіз Бєлякова, буд. 11 кв. 968, Глухів, 97970",046 984 82 21,razhazha@example.com
Швачка,Святослава,Володимирівна,жінка,1980-02-05,Художник,місто Марганець,"шосе Володимира Терещенка, буд. 5 кв. 16, Звенигородка, 61612",+380 62 762 05 15,andrii70@example.net
Малишко,Григорій,Іванович,чоловік,1943-11-25,Гірник,хутір Гадяч,"проспект Бузковий 2-й, буд. 84, Тетіїв, 08847",+380 15 843-20-48,tbandura@example.org
Василашко,Святослава,Олексіївна,жінка,1972-01-23,Гірничий інженер,місто Новоазовськ,"сквер Іванівський переїзд, буд. 8 кв. 96, Луцьк, 04691",519-74-34,davyd21@example.com
Карась,Андрій,Андрійович,чоловік,1954-01-13,Візажист,місто П'ятихатки,"вулиця Скрипковий, буд. 372 кв. 7, Отаманівка, 42837",183 44 14,ievhen66@example.com
Баштан,Артем,Олегович,чоловік,1971-01-18,Маркетолог,селище Перещепине,"шосе Агрономічна, буд. 0 кв. 60, Інкерман, 57982",+380 (07) 366-95-47,venedyktbazavluchenko@example.org
Дрозд,Зиновій,Володимирович,чоловік,1942-04-28,Громадський діяч,село Вашківці,"проспект Лірний, буд. 5 кв. 62, Нікополь, 44983",+380 64 525 38 59,valerii81@example.com
Чала,Ліза,Іванівна,жінка,1967-01-13,Агроном,хутір Привілля,"набережна Чорноморський 9-й, буд. 85, Борщів, 04896",016 427 58 27,zzarudnyi@example.org
Корбут,Михайло,Олегович,чоловік,1954-02-12,Бізнесмен,місто Генічеськ,"парк Проїзний 3-й, буд. 5, Немирів, 97662",122 56 12,jatamanchuk@example.org
Чумак,Олена,Володимирівна,жінка,1961-02-07,Пілот,селище Борщів,"площа Іони Отаманського, буд. 326 кв. 8, Гребінка, 33119",498-68-47,demian54@example.org
Скопенко,Ярина,Володимирівна,жінка,1969-10-15,Астрофізик,селище Харцизьк,"проспект Велика Арнаутська, буд. 469, Перемишляни, 60859",+380 08 634-43-88,ukorolenko@example.com
Бабиченко,Одарка,Володимирівна,жінка,1945-12-06,Вчитель,селище Семенівка,"узвіз Бузковий 1-й, буд. 298 кв. 8, Новий Розділ, 23806",095 336 61 35,ostap18@example.org
Швайка,Соломія,Олексіївна,жінка,1967-01-24,Громадський діяч,село Золоте,"площа Сосюри, буд. 544, Любомль, 01324",+380 91 321-93-65,spas76@example.org
Цюпа,Олег,Петрович,чоловік,1966-02-05,Кінокритик,місто Брянка,"узвіз Деревообробний 3-й, буд. 66 кв. 110, Долинська, 06295",+380 12 052 80 09,jakymenko@example.net
Закусило,Марко,Олексійович,чоловік,1985-04-22,Маркетолог,селище Ічня,"узвіз Незамаївська, буд. 97, Перечин, 39896",+380 64 470-04-74,abaranyk@example.org
Бандура,Анжела,Петрівна,жінка,2004-08-22,Євнух,селище Дунаївці,"парк Шостої 2-й, буд. 662, Дубровиця, 98461",+380 41 554-95-27,ruslan34@example.com
Рубець,Венедикт,Андрійович,чоловік,1955-03-15,Продюсер,селище Севастополь,"набережна Пассіонарії, буд. 307, Оріхів, 87410",051 978-94-12,emiliiavakarchuk@example.net
Охримович,Марта,Іванівна,жінка,1950-01-06,Менеджер,місто Миколаїв,"шосе Амбулаторний, буд. 5, Святогірськ, 83386",133-22-17,baturynetsadam@example.com
Фесенко,Леонід,Сергійович,чоловік,2002-07-30,Геолог,село Білозерське,"шосе Сергія Уточкіна, буд. 63, Сколе, 09931",+380 39 572-72-60,onishchukbohuslav@example.com
Матяш,Прохір,Олексійович,чоловік,1963-07-10,Науковець,село Ромни,"узвіз Військовий узвіз, буд. 060 кв. 0, Чуднів, 43277",705-87-44,roksolanaiaremenko@example.net
Ляшко,Ярослава,Олексіївна,жінка,1958-10-09,Філолог,місто Тетіїв,"площа Рівності 2-й, буд. 38, Добропілля, 96673",034 492 05 36,petrykiefrem@example.org
Авдєєнко,Демʼян,Сергійович,чоловік,1944-07-06,Бібліограф,селище Сватове,"сквер Овідіопольський, буд. 25 кв. 5, Хирів, 09598",+380 87 516-03-93,tymofii12@example.com
Артюшенко,Єлисавета,Андріївна,жінка,1976-02-07,Фольклорист,хутір Бровари,"проспект Банний, буд. 045 кв. 04, Копичинці, 12792",+380 (65) 389-85-70,nturkalo@example.net
Рева,Артем,Сергійович,чоловік,1993-07-30,Бухгалтер,хутір Малин,"провулок Круговий, буд. 44, Теплодар, 65357",092 022 50 61,haidaburadanylo@example.org
Аврамчук,Володимир,Олегович,чоловік,1939-04-23,Євнух,село Липовець,"провулок Дачний 2-й, буд. 10 кв. 5, Моршин, 25247",+380 08 420-47-81,mykhailo11@example.com
Гузій,Богуслав,Володимирович,чоловік,1986-03-01,Медик,село Рожище,"площа Йозефа Прибіка, буд. 1 кв. 2, Приморськ, 10355",313-30-12,kyrylo93@example.net
Гук,Валерій,Олексійович,чоловік,1975-06-03,Кінорежисер,село Володимир-Волинський,"проспект Балтський 8-й, буд. 7, Чорноморськ, 20072",073 347-16-78,xpelekh@example.net
Ґоляш,Геннадій,Сергійович,чоловік,1959-07-06,Мовознавець,селище Кам'янка-Бузька,"шосе Економічний, буд. 7 кв. 500, Борзна, 10724",+380 70 891-52-77,wvelychko@example.org
Ярема,Леонтій,Володимирович,чоловік,2006-11-30,Архітектор,хутір Рожище,"провулок Мелітопольська, буд. 426 кв. 3, Вишгород, 05912",+380 26 127 15 53,eduard24@example.net
Свистун,Ростислав,Сергійович,чоловік,1946-01-20,Економіст,місто Соснівка,"сквер Хлібна гавань, буд. 161 кв. 17, Мар'їнка, 76545",312-17-19,lazarenkoklyment@example.org
Колісниченко,Леон,Сергійович,чоловік,1963-09-14,Геолог,місто Голубівка,"узвіз Золотий берег, буд. 8, Узин, 14562",+380 85 849-48-87,danylo84@example.com
Іваничук,Оксенія,Володимирівна,жінка,2000-10-05,Перекладач,хутір Довжанськ,"площа Київське, буд. 96 кв. 5, Шептицький, 01542",+380 29 355 40 27,amvrosiizasenko@example.org
Макаренко,Аркадій,Сергійович,чоловік,1969-11-09,Гірник,місто Куп'янськ,"провулок Трусовська, буд. 3 кв. 3, Олександрія, 52377",143 46 88,hgalagan@example.com
Фесенко,Андрій,Володимирович,чоловік,2001-11-09,Режисер,хутір Зоринськ,"парк Гобеленова, буд. 130 кв. 6, Городенка, 79959",405-25-66,shakhraipylyp@example.com
Базилевський,Пріска,Сергіївна,жінка,1954-09-20,Клоун,селище Добромиль,"шосе Сергія Уточкіна, буд. 5 кв. 739, Нова Каховка, 20582",273 51 70,hannapylypenko@example.net
Овчаренко,Христина,Володимирівна,жінка,1940-04-12,Нотаріус,місто Бердянськ,"узвіз Отамана Головатого, буд. 81 кв. 05, Ізюм, 95777",095 155-53-72,ovakhnii@example.org
Затула,Левко,Олегович,чоловік,1989-01-14,Піаніст,хутір Почаїв,"шосе Самодіяльна, буд. 7 кв. 6, Буча, 87313",+380 (10) 612-69-74,jshcherbak@example.net
Пилипенко,Борислав,Андрійович,чоловік,1971-04-12,Математик,селище Конотоп,"вулиця Лиманчик 2-й Лінія 1-ша, буд. 944 кв. 736, Ковель, 52415",014 422-80-97,ehunko@example.org
Теліженко,Мілена,Андріївна,жінка,2008-10-06,Астрофізик,селище Златопіль,"площа Олексіївська, буд. 7, Донецьк, 05255",116-23-64,haidamakaklavdiia@example.net
Вакарчук,Ганна,Сергіївна,жінка,1963-05-02,Сантехнік,хутір Тиврів,"узвіз Кипарисний 3-й, буд. 9, Суми, 91693",030 18 66,oleksandr19@example.net
Ніколюк,Варвара,Андріївна,жінка,1957-10-31,Хореограф,село Тульчин,"узвіз Владислава Домбровського, буд. 483 кв. 415, Тульчин, 74629",+380 52 055 68 85,skhrystenko@example.org
Захаренко,Костянтин,Андрійович,чоловік,1975-07-07,Музикознавець,місто Миронівка,"проспект Маячний, буд. 282, Новий Розділ, 71134",+380 26 107-84-19,vkopytko@example.com
Дергач,Мирон,Володимирович,чоловік,1971-07-21,Реставратор,селище Суходільськ,"провулок Прирейкова, буд. 03 кв. 3, Чернівці, 91403",505 72 96,viktormiroshnychenko@example.com
Уманець,Марія,Сергіївна,жінка,1996-12-19,Слідчий,хутір Балта,"провулок Басейний 3-й, буд. 7, Нетішин, 66116",079 584-63-20,liubov86@example.org
Рубан,Соломія,Олегівна,жінка,1992-06-01,Бізнесмен,село Лубни,"набережна Лавкова, буд. 6, Козятин, 25946",030 268-51-80,liudmylazhuravel@example.org
Лупій,Азар,Олегович,чоловік,1947-12-08,Хімік,село Кілія,"набережна Михайла Омеляновича-Павленка, буд. 996, Решетилівка, 64804",064 616 40 13,zhadanievhen@example.org
Вахній,Олександр,Іванович,чоловік,1957-12-09,Мікробіолог,селище Жданівка,"проспект Вільгельма Габсбурга, буд. 31, Гнівань, 17931",117-21-93,iishchenko@example.com
Фесенко,Феофан,Петрович,чоловік,1990-09-09,Швачка,селище Калинівка,"вулиця Монгольська, буд. 262 кв. 4, Алушта, 58322",+380 20 427-41-68,holykustym@example.org
Іванченко,Тимофій,Олексійович,чоловік,1980-08-09,Кухар,селище Борислав,"провулок Ф. Пішеніна, буд. 3 кв. 180, Сквира, 48028",021-72-33,havrylyshynavioletta@example.org
Масляк,Світлана,Андріївна,жінка,1969-04-27,Письменник,село Шепетівка,"вулиця Кипарисний 1-й, буд. 314 кв. 77, Бахчисарай, 40877",153-56-89,iarematsisyk@example.org
Цимбал,Аліна,Олексіївна,жінка,1978-12-26,Музикант,хутір Люботин,"площа Станційна 3-тя, буд. 9, Чуднів, 19638",+380 02 740-93-91,tokaradam@example.com
Лесик,Борис,Володимирович,чоловік,1964-09-27,Хімік,хутір Великі Мости,"узвіз Вапняний 1-й, буд. 822, Зміїв, 85234",+380 56 828-41-97,teodor79@example.org
Лисенко,Тетяна,Олексіївна,жінка,1961-02-25,Скульптор,місто Зоринськ,"сквер Аеропортівський 6-й, буд. 709 кв. 658, Енергодар, 73869",+380 16 026 88 51,bazavluchenkoandrii@example.org
Притула,Емілія,Андріївна,жінка,1941-10-23,Композитор,місто Прип'ять,"проспект Литавровий, буд. 226, Нове Давидково, 20430",084 634 49 34,sirkostanislav@example.org
Данильчук,Михайлина,Сергіївна,жінка,1994-12-25,Державний службовець,село Мукачево,"вулиця Басейний 6-й, буд. 75, Соснівка, 78222",453 27 28,klymentbashtan@example.org
Ярема,Ігнат,Володимирович,чоловік,2008-04-27,Кіноактор,село Бурштин,"узвіз Айвазовського, буд. 113 кв. 299, Ладижин, 64551",+380 07 176 12 82,khudobiakalla@example.org
Василечко,Руслан,Сергійович,чоловік,2001-06-01,Фермер,село Ромни,"площа Моторний 1-й, буд. 292 кв. 510, Кременчук, 60845",409 79 06,smazur@example.net
Засядько,Лукʼян,Петрович,чоловік,1956-02-12,Правник,селище Старий Крим,"вулиця Каберне, буд. 3 кв. 90, П'ятихатки, 80324",489 33 54,liliiadakhno@example.org
Стельмах,Едита,Іванівна,жінка,1942-07-12,Локсмайстер,село Чистякове,"набережна Овідіопольська дорога, буд. 51 кв. 7, Борзна, 90090",+380 70 774 96 25,dakhnoiaryna@example.net
Девдюк,Валерій,Іванович,чоловік,2007-12-05,Кінолог,хутір Ізюм,"провулок Олександра Болдирєва, буд. 05, Южне, 67173",+380 (82) 051-24-92,iefrem60@example.org
Остапчук,Віолетта,Володимирівна,жінка,1977-09-17,Доцент,село Борщів,"набережна Київське, буд. 794 кв. 66, Дергачі, 47782",302-30-01,bohuslav12@example.org
Худяк,Розалія,Олегівна,жінка,1954-05-03,Ветеринар,селище Олешки,"шосе Іванівський переїзд, буд. 33 кв. 48, Ворожба, 96041",+380 95 511-22-34,tsarenkomariana@example.org
Гречко,Емілія,Олегівна,жінка,1979-03-18,Парфюмер,село Федорівка,"площа Мала Садова, буд. 73 кв. 39, Новгород-Сіверський, 80697",020 746-66-26,liliia67@example.net
Лемешко,Ілля,Андрійович,чоловік,1952-11-03,Адвокат,місто Лебедин,"вулиця Ніли Крюкової, буд. 66, Мукачево, 81508",060 512 03 22,spasdutka@example.com
Дацюк,Наталія,Володимирівна,жінка,2002-06-19,Мінералог,місто Дубровиця,"парк Лінія 30-та, буд. 40, Новоселиця, 02271",036 897-67-84,lukianvakarchuk@example.org
Балабан,Віолетта,Андріївна,жінка,1967-01-28,Письменник,село Герца,"набережна Успенська, буд. 0, Шаргород, 45470",679-24-07,ndarahan@example.com
Бараник,Ольга,Петрівна,жінка,1972-10-02,Флорист,місто Підгайці,"шосе Привокзальний, буд. 0 кв. 5, Перечин, 50861",938 86 51,iaremkoiaroslav@example.net
Юрчук,Володимира,Іванівна,жінка,1970-05-04,Штукатур,місто Мар'їнка,"узвіз Літня, буд. 290 кв. 931, Христинівка, 27055",280-84-56,mykhailynababenko@example.org
Юхименко,Тетяна,Сергіївна,жінка,1943-07-17,Петрограф,місто Бахмут,"узвіз Проектна 1-ша, буд. 408 кв. 43, Одеса, 07722",+380 (58) 684-36-60,makar50@example.com
Онищенко,Амалія,Андріївна,жінка,1982-08-03,Письменник,хутір Вільнянськ,"провулок Трудова, буд. 5, Вишневе, 83072",125-32-82,pavlo92@example.org
Саченко,Петро,Олегович,чоловік,2001-05-30,Редактор,хутір Ізмаїл,"провулок Курортний 6-й, буд. 23 кв. 8, Тиврів, 81832",862-89-75,iaroslavazaichenko@example.org
Юхименко,Лариса,Володимирівна,жінка,1992-08-29,Художник,місто Вугледар,"проспект Контрадмірала Остроградського, буд. 6 кв. 2, Щолкіне, 35390",+380 47 506 05 61,kyrylokonoplenko@example.net
Власенко,Алла,Іванівна,жінка,1980-05-26,Ботанік,місто Сімферополь,"сквер Артезіанська, буд. 7 кв. 43, Ходорів, 47763",579 97 48,xokhrimenko@example.org
Охримович,Сніжана,Олегівна,жінка,1970-12-24,Програміст,місто Сорокине,"узвіз Ключовий 2-й, буд. 149, Хрустальний, 63037",+380 39 215 18 37,qartymovych@example.org
Свистун,Марʼяна,Володимирівна,жінка,2003-03-21,Мікробіолог,місто Монастирище,"набережна Лінія 28-ма, буд. 95, Переяслав, 19484",069 428 68 19,demian64@example.org
Дацюк,Назар,Петрович,чоловік,1987-04-24,Державний службовець,селище Хирів,"шосе Балтський 1-й, буд. 2 кв. 6, Надвірна, 17972",+380 51 493-46-58,svitlana88@example.org
Засядько,Емілія,Сергіївна,жінка,1982-11-26,Музикант,село Бершадь,"провулок Райдужна, буд. 4 кв. 3, Сорокине, 92070",+380 18 895 51 81,uchernenko@example.com
Бандура,Юстим,Олексійович,чоловік,1960-05-13,Намотувальник,селище Зоринськ,"набережна Рівності, буд. 83, Новий Калинів, 13980",051 523 37 89,spavlychenko@example.org
Деревʼянко,Марія,Олексіївна,жінка,1962-01-24,Ді-джей,хутір Калинівка,"узвіз Вчительська, буд. 009 кв. 61, Златопіль, 63800",+380 48 872 49 25,zbabii@example.com
Затула,Болеслав,Володимирович,чоловік,2007-07-19,Педагог,місто Волочиськ,"площа Сливовий, буд. 125, Лисичанськ, 92513",+380 83 765-13-08,leopoldsomko@example.com
Карпа,Марко,Андрійович,чоловік,2006-07-02,Астроном,село Вугледар,"площа Цебриківська, буд. 7 кв. 699, Гайворон, 56713",023 783 59 13,mykhailyna69@example.com
Чумак,Тетяна,Олегівна,жінка,1996-12-06,Економіст,місто Гадяч,"шосе Проектна 1-ша, буд. 58 кв. 2, Амвросіївка, 48311",+380 55 972-92-83,venedyktievtushenko@example.net
Кащенко,Максим,Петрович,чоловік,2006-06-21,Співак,хутір Рогатин,"набережна Авангардна, буд. 3, Хоростків, 70990",749-41-93,whaidai@example.net
Пелех,Микита,Петрович,чоловік,1989-01-24,Мірошник,село Гадяч,"набережна Петра Біциллі, буд. 0, Кролевець, 14665",042 423-82-79,iereskoroman@example.net
Шило,Ірена,Олексіївна,жінка,1955-12-30,Економіст,місто Вільнянськ,"проспект Теплична, буд. 4 кв. 00, Вашківці, 29466",+380 18 324-28-66,tsheremeta@example.net
Батіг,Лілія,Петрівна,жінка,1977-04-04,Науковець,селище Гірник,"шосе Обільна, буд. 7, Тлумач, 45017",+380 34 518 34 11,emiliia80@example.com
Євтушок,Захар,Олегович,чоловік,1991-04-25,Скульптор,хутір Скадовськ,"узвіз Лігінська, буд. 6, Христинівка, 41792",+380 (20) 536-59-90,nadiiabarannyk@example.com
Шиян,Розалія,Сергіївна,жінка,1966-08-17,Астрофізик,місто Великі Мости,"набережна Тополиний, буд. 655, Вашківці, 95167",047 972-34-54,riaboshapkaanzhela@example.org
Ярема,Святослава,Петрівна,жінка,1977-07-08,Круп'є,селище Вільнянськ,"набережна Естонський, буд. 20 кв. 0, Полонне, 06575",+380 33 953-38-34,qdotsenko@example.com
Андрейко,Златослава,Володимирівна,жінка,1972-11-07,Геолог,село Новоукраїнка,"провулок Хортицька, буд. 996, Обухів, 41342",929 74 82,dotsenkosemen@example.org
Базавлученко,Трохим,Олексійович,чоловік,1993-08-03,Кушнір,місто Білицьке,"сквер Чорноморського козацтва, буд. 66 кв. 8, Феодосія, 53703",085 881-97-74,qbabiak@example.net
Гавришкевич,Леонід,Сергійович,чоловік,1974-12-16,Слідчий,хутір Вугледар,"проспект Фруктовий, буд. 67 кв. 561, Брянка, 68986",096 863-13-31,amvrosiiirvanets@example.com
Тригуб,Богодар,Петрович,чоловік,1978-07-07,Фермер,місто Красилів,"сквер Соціальна, буд. 4 кв. 14, Мукачево, 60176",510-32-98,tkachenkoanastasiia@example.org
Артим,Ольга,Володимирівна,жінка,1951-07-03,Ювелір,село Переяслав,"шосе Учнівська, буд. 6 кв. 004, Макіївка, 65655",944 73 97,chernenkohennadii@example.org
Ярош,Христина,Андріївна,жінка,1954-11-27,Педагог,хутір Снятин,"парк Шкільний аеродром, буд. 6, Сватове, 36447",+380 52 861-65-45,darynaiaremchuk@example.com
Байда,Зиновій,Андрійович,чоловік,1990-05-13,Програміст,село Рені,"сквер Кутова, буд. 8, Тетіїв, 89885",+380 (57) 852-21-17,zabashtavolodymyra@example.net
Даниленко,Нестор,Андрійович,чоловік,1943-02-10,Музичний редактор,селище Сквира,"узвіз Уральська, буд. 26 кв. 98, Донецьк, 89199",005 170 55 98,hiatseniuk@example.net
Дубас,Данило,Володимирович,чоловік,1994-06-16,Водій,хутір Білгород-Дністровський,"набережна Високий, буд. 2, Семенівка, 23663",+380 36 496-90-26,oliinykklyment@example.org
Дашкевич,Панас,Андрійович,чоловік,1996-07-17,Стоматолог,село Снятин,"площа Павла Клепацького, буд. 1 кв. 2, Глиняни, 51501",082 474-91-89,utsymbaliuk@example.com
Зарудна,Марина,Сергіївна,жінка,1984-03-18,Дипломат,село Перемишляни,"провулок Штурвальна, буд. 649 кв. 5, Бібрка, 64222",274 49 34,mbebeshko@example.org
Зайченко,Клавдія,Іванівна,жінка,1945-11-18,Літературознавець,селище Сторожинець,"набережна Лінія 30-та, буд. 587 кв. 32, Сквира, 33024",+380 19 970 76 57,iustynasimashkevych@example.net
Бабенко,Лариса,Олексіївна,жінка,2003-09-04,Інженер,селище Сторожинець,"вулиця Чорноморський 1-й, буд. 61, Сіверськодонецьк, 13843",322-52-24,petrykhryhorii@example.com
Товстуха,Болеслав,Володимирович,чоловік,1952-11-29,Прокурор,місто Золотоноша,"площа 13-та ст. Великого Фонтану пляж, буд. 032, Лебедин, 26411",+380 14 690 13 82,msliusar@example.net
Гупало,Анастасія,Сергіївна,жінка,1956-04-30,Архітектор,місто Горохів,"вулиця 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 92 кв. 18, Долина, 55689",419-86-09,tetianavoblyi@example.com
Христич,Макар,Іванович,чоловік,1951-06-15,Антрополог,хутір Сквира,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 184, Кременчук, 21559",+380 75 522-11-96,odarka40@example.org
Доценко,Марʼяна,Сергіївна,жінка,1967-10-13,Ветеринар,місто Перечин,"провулок Професора Каришковського, буд. 3 кв. 1, Ірпінь, 03017",+380 31 357-26-28,milena10@example.net
Височан,Вікторія,Олегівна,жінка,1966-05-20,Актор,село Чорнобиль,"набережна Дубова, буд. 772, Білопілля, 39348",+380 89 082-96-68,zabaraheorhii@example.org
Бабенко,Станіслав,Петрович,чоловік,1999-04-23,Секретар,місто Соснівка,"сквер Пересипська 8-ма, буд. 0, Шептицький, 76921",099 988-37-69,biurchyshyn@example.com
Кащенко,Геннадій,Володимирович,чоловік,1962-12-27,Складальник,селище Свалява,"шосе Короткий, буд. 70 кв. 180, Новоазовськ, 38407",003 771-29-03,danylenkoielysei@example.com
Симоненко,Данна,Володимирівна,жінка,1955-05-24,Літературознавець,місто Подільськ,"парк Митракова, буд. 25, Перевальськ, 61437",+380 35 980 30 43,pmykytiuk@example.net
Запорожець,Соломія,Іванівна,жінка,1955-11-29,Стиліст,хутір Рогатин,"шосе Мала, буд. 564 кв. 093, Апостолове, 35259",881-36-98,fvenhrynovych@example.com
Кириленко,Амалія,Петрівна,жінка,1986-08-08,Вчитель,селище Ходорів,"вулиця Студентський 2-й, буд. 20 кв. 8, Володимир-Волинський, 18340",+380 47 651-17-22,viktoriia16@example.net
Свистун,Орина,Олегівна,жінка,2003-12-22,Вчитель,село Біляївка,"вулиця Василя Капніста, буд. 1, Мала Виска, 69912",061 93 95,iskoryk@example.org
Штокало,Варвара,Андріївна,жінка,1985-10-30,Вчитель,місто Самбір,"шосе Госпітальний, буд. 4 кв. 991, Нікополь, 89931",+380 28 691-57-00,davydchornovil@example.com
Данько,Юхим,Володимирович,чоловік,1979-03-20,Намотувальник,хутір Нікополь,"шосе Академічний, буд. 98 кв. 9, Здолбунів, 71007",+380 22 547 32 20,filipenkozynovii@example.org
Їжакевич,Орися,Петрівна,жінка,1994-01-12,Дипломат,місто Коростень,"площа Наявний 3-й, буд. 97, Копичинці, 71296",+380 64 941-45-78,fesenkosvitlana@example.org
Цимбал,Віра,Петрівна,жінка,1946-10-09,Адвокат,хутір Запоріжжя,"парк Лінія 22-га, буд. 2 кв. 7, Дружківка, 29153",+380 (52) 212-56-84,mykolaibaran@example.org
Савенко,Давид,Сергійович,чоловік,1966-03-28,Фармацевт,хутір Радомишль,"узвіз Крижанівський, буд. 0, Лиман, 04604",480 33 33,zaikaprokhir@example.org
Євтушенко,Алла,Андріївна,жінка,2007-08-13,Фольклорист,селище Угнів,"проспект Скляна, буд. 008 кв. 38, Ялта, 90343",+380 37 323-94-28,ieromenkomykhailyna@example.net
Гавришкевич,Лукʼян,Володимирович,чоловік,1961-06-27,Біолог,місто Апостолове,"провулок Чорноморського козацтва, буд. 658, Сокиряни, 71720",018 168-92-81,cherednyksemen@example.com
Дубас,Марина,Сергіївна,жінка,1954-04-20,Мистецтвознавець,село Копичинці,"парк Неплія, буд. 777, Люботин, 38032",935 81 05,shabliisvitlana@example.com
Макогон,Данна,Іванівна,жінка,1947-06-02,Композитор,хутір Полтава,"узвіз Івана Вазова, буд. 4 кв. 4, Тисмениця, 06274",855 66 80,khrystyna12@example.com
Чуприна,Вʼячеслав,Володимирович,чоловік,1953-06-11,Професор,місто Лисичанськ,"парк Яна Длугоша, буд. 9 кв. 4, Радивилів, 14848",466 43 87,rudykpriska@example.org
Сіробаба,Макар,Володимирович,чоловік,1996-06-03,Намотувальник,селище Золотоноша,"сквер Листяний, буд. 64, Харцизьк, 18989",221-84-39,illiailchenko@example.net
Бандурка,Григорій,Сергійович,чоловік,1970-09-04,Хімік,хутір Шостка,"проспект Садова 4-та, буд. 11, Сокиряни, 48770",+380 68 537 77 89,rozaliia63@example.org
Башполченко,Демид,Петрович,чоловік,1981-07-01,Намотувальник,хутір Павлоград,"шосе Могилівська, буд. 859 кв. 6, Пирятин, 55758",069 857 21 49,levko51@example.org
Заруба,Соломон,Іванович,чоловік,1966-11-14,Програміст,місто Чернігів,"сквер Миколи Костомарова, буд. 58 кв. 99, Оріхів, 98936",026 484-19-77,chalenkopriska@example.net
Ярош,Анастасія,Сергіївна,жінка,1998-01-14,Гицель,селище Тернівка,"площа Віталія Гуляєва, буд. 65, Черкаси, 86533",973-14-55,avhustynpavlyk@example.com
Ляшко,Лілія,Петрівна,жінка,1958-03-24,Музикант,селище Скадовськ,"проспект Морський 2-й, буд. 384, Славутич, 77245",026 32 81,stefan85@example.org
Вдовиченко,Лариса,Іванівна,жінка,2007-07-27,Математик,хутір Оріхів,"вулиця Хімічний 3-й, буд. 3, Джанкой, 10628",920-88-00,vlasiukarsen@example.org
Байда,Марʼяна,Сергіївна,жінка,1979-02-28,М'ясник,місто Часів Яр,"парк Заводська 5-та, буд. 901, Скалат, 70725",605-78-70,nestorartymyshyn@example.org
